epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.498,1.71186,1.47455,1.4898,0.8495,0.73522,0.83531,0.40353,1.7818,1.27906,1.33702,0.000333024,0.000333024,0.0670306
2,307.202,1.66781,1.25919,1.49002,0.94381,0.83552,0.93396,0.42902,1.83541,1.0328,1.37762,0.000658111,0.000658111,0.0340224
3,447.388,1.6348,1.17323,1.4757,0.91113,0.87038,0.93955,0.44681,1.84544,0.98684,1.40456,0.000974948,0.000974948,0.0010059
4,596.85,1.61895,1.12784,1.47052,0.96995,0.88105,0.95127,0.3684,2.04339,0.9005,1.44682,0.000962875,0.000962875,0.000962875
5,736.067,1.6058,1.08565,1.45956,0.94016,0.92,0.96736,0.3882,2.01997,0.85216,1.43987,0.0009505,0.0009505,0.0009505
6,875.959,1.59395,1.04815,1.45196,0.97333,0.89712,0.97368,0.50178,1.65224,0.76654,1.26277,0.000938125,0.000938125,0.000938125
7,1023.83,1.5816,1.03249,1.44887,0.98347,0.91373,0.97592,0.48432,1.71946,0.77068,1.2962,0.00092575,0.00092575,0.00092575
8,1157.36,1.57283,1.00998,1.44423,0.97098,0.94641,0.98797,0.49199,1.67832,0.6836,1.2613,0.000913375,0.000913375,0.000913375
9,1304.66,1.56696,0.99414,1.43554,0.97834,0.93646,0.98776,0.56895,1.52128,0.64078,1.19546,0.000901,0.000901,0.000901
10,1438.48,1.56077,0.97864,1.43143,0.978,0.94718,0.98845,0.54667,1.60197,0.6568,1.22803,0.000888625,0.000888625,0.000888625
11,1584.56,1.55523,0.96136,1.42513,0.97478,0.95676,0.9889,0.5486,1.57222,0.66103,1.22419,0.00087625,0.00087625,0.00087625
12,1719.21,1.54912,0.95741,1.42565,0.98314,0.95121,0.99152,0.54166,1.57347,0.61134,1.21558,0.000863875,0.000863875,0.000863875
13,1863.93,1.53942,0.94047,1.41899,0.97686,0.96748,0.99199,0.57087,1.52304,0.61607,1.19281,0.0008515,0.0008515,0.0008515
14,2003.2,1.53827,0.93211,1.41302,0.98374,0.96835,0.99007,0.53389,1.60105,0.60945,1.22546,0.000839125,0.000839125,0.000839125
15,2143.09,1.52971,0.92008,1.41056,0.97692,0.97657,0.99148,0.5582,1.55124,0.58076,1.19645,0.00082675,0.00082675,0.00082675
16,2286.9,1.52497,0.91008,1.4057,0.9792,0.9835,0.99409,0.55357,1.53469,0.5706,1.19482,0.000814375,0.000814375,0.000814375
17,2422.7,1.51447,0.89969,1.39942,0.98107,0.98979,0.9939,0.59145,1.44808,0.55254,1.15462,0.000802,0.000802,0.000802
18,2565.21,1.51522,0.89865,1.39542,0.98032,0.98942,0.99451,0.60497,1.38556,0.54887,1.12885,0.000789625,0.000789625,0.000789625
19,2703.35,1.50912,0.88422,1.39409,0.98292,0.98914,0.99287,0.59287,1.43615,0.54575,1.14964,0.00077725,0.00077725,0.00077725
20,2849.5,1.50722,0.87742,1.39097,0.98237,0.98854,0.99295,0.59492,1.38864,0.54273,1.13532,0.000764875,0.000764875,0.000764875
21,2986.24,1.50523,0.87213,1.38652,0.98361,0.9909,0.99298,0.60417,1.38016,0.52776,1.1264,0.0007525,0.0007525,0.0007525
22,3131.39,1.50239,0.86917,1.38644,0.9838,0.993,0.99283,0.60354,1.38309,0.5252,1.12402,0.000740125,0.000740125,0.000740125
23,3273.18,1.50261,0.86576,1.38542,0.98301,0.99041,0.99306,0.60308,1.38339,0.51992,1.12179,0.00072775,0.00072775,0.00072775
24,3411.26,1.49447,0.85709,1.3823,0.98897,0.99675,0.99332,0.61606,1.35652,0.50986,1.11261,0.000715375,0.000715375,0.000715375
25,3541.22,1.49261,0.85475,1.38267,0.98892,0.996,0.99368,0.62355,1.32348,0.50371,1.10183,0.000703,0.000703,0.000703
26,3670.8,1.4874,0.85132,1.37903,0.99138,0.99381,0.99394,0.62209,1.33117,0.49984,1.10606,0.000690625,0.000690625,0.000690625
27,3800.08,1.48482,0.83835,1.37696,0.98874,0.99319,0.99414,0.62045,1.32941,0.49557,1.10548,0.00067825,0.00067825,0.00067825
28,3930.08,1.48536,0.83494,1.37391,0.98773,0.99294,0.99376,0.62299,1.31741,0.49052,1.10092,0.000665875,0.000665875,0.000665875
29,4059.98,1.48124,0.83383,1.37253,0.98808,0.99378,0.99384,0.62251,1.30819,0.48877,1.09702,0.0006535,0.0006535,0.0006535
30,4189.71,1.47847,0.82922,1.37505,0.98974,0.99445,0.99391,0.62135,1.3109,0.48618,1.09891,0.000641125,0.000641125,0.000641125
31,4318.97,1.47663,0.82843,1.37113,0.98904,0.99601,0.99399,0.62058,1.31213,0.48299,1.09987,0.00062875,0.00062875,0.00062875
32,4448.77,1.47885,0.8224,1.37212,0.98929,0.99622,0.99408,0.62334,1.30654,0.48017,1.09753,0.000616375,0.000616375,0.000616375
33,4578.24,1.47323,0.81989,1.36263,0.98944,0.99646,0.99413,0.62384,1.30284,0.47584,1.09664,0.000604,0.000604,0.000604
34,4708.28,1.47113,0.81417,1.36508,0.98967,0.99517,0.99427,0.62616,1.29686,0.47416,1.0947,0.000591625,0.000591625,0.000591625
35,4838.01,1.46526,0.81365,1.36665,0.99088,0.99497,0.99432,0.62823,1.29015,0.47103,1.09286,0.00057925,0.00057925,0.00057925
36,4967.69,1.46302,0.80848,1.36197,0.99056,0.99483,0.99438,0.62945,1.28611,0.469,1.09141,0.000566875,0.000566875,0.000566875
37,5098.07,1.45761,0.80061,1.35714,0.99036,0.99454,0.99438,0.62926,1.28221,0.46684,1.09028,0.0005545,0.0005545,0.0005545
38,5227.86,1.46179,0.79693,1.35981,0.98944,0.99527,0.99442,0.63224,1.27779,0.46546,1.08863,0.000542125,0.000542125,0.000542125
39,5357.1,1.45403,0.79487,1.35173,0.98955,0.99504,0.99448,0.63219,1.2797,0.46516,1.08923,0.00052975,0.00052975,0.00052975
40,5486.39,1.45174,0.79436,1.35536,0.99053,0.99398,0.99449,0.63144,1.28119,0.46317,1.08926,0.000517375,0.000517375,0.000517375
41,5616.08,1.45387,0.78969,1.35411,0.99058,0.99368,0.99448,0.6307,1.2799,0.4626,1.08895,0.000505,0.000505,0.000505
42,5745.39,1.44642,0.78205,1.34513,0.98909,0.99471,0.99453,0.63447,1.2818,0.46218,1.08904,0.000492625,0.000492625,0.000492625
